lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Cempaka Putih, Jakarta Pusat",2,1,33,375000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,285000000
"Cempaka Putih, Jakarta Pusat",2,1,34,260000000
"Cempaka Mas, Jakarta Pusat",3,3,94,675000000
"Cempaka Putih, Jakarta Pusat",2,1,34,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,470000000
"Cempaka Putih, Jakarta Pusat",2,1,33,415000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Mas, Jakarta Pusat",2,1,76,715000000
"Cempaka Mas, Jakarta Pusat",2,1,76,715000000
"Cempaka Putih, Jakarta Pusat",2,1,95,2000000000
"Cempaka Mas, Jakarta Pusat",2,2,91,2000000000
"Cempaka Putih, Jakarta Pusat",3,2,70,900000000
"Cempaka Putih, Jakarta Pusat",1,1,21,260000000
"Cempaka Putih, Jakarta Pusat",2,1,33,440000000
"Cempaka Putih, Jakarta Pusat",2,1,33,365000000
"Cempaka Putih, Jakarta Pusat",1,1,21,395000000
"Cempaka Putih, Jakarta Pusat",2,1,33,360000000
"Cempaka Putih, Jakarta Pusat",2,1,33,480000000
"Cempaka Putih, Jakarta Pusat",2,1,33,480000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,499000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,1,33,400000000
"Cempaka Putih, Jakarta Pusat",2,1,34,335000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,1,33,530000000
"Cempaka Putih, Jakarta Pusat",2,1,33,470000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,2,75,1650000000
"Cempaka Putih, Jakarta Pusat",2,1,33,360000000
"Cempaka Putih, Jakarta Pusat",2,1,34,330000000
"Cempaka Putih, Jakarta Pusat",2,1,33,360000000
"Cempaka Putih, Jakarta Pusat",1,1,21,320000000
"Cempaka Putih, Jakarta Pusat",2,1,33,460000000
"Cempaka Putih, Jakarta Pusat",2,1,33,460000000
"Cempaka Putih, Jakarta Pusat",2,1,33,330000000
"Cempaka Putih, Jakarta Pusat",2,1,33,510000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,330000000
