lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Gajah Mada, Jakarta Pusat",3,2,68,850000000
"Gajah Mada, Jakarta Pusat",1,1,28,400000000
"Gajah Mada, Jakarta Pusat",2,1,50,750000000
"Gajah Mada, Jakarta Pusat",2,1,49,960000000
"Roxy, Jakarta Pusat",2,1,76,1500000000
"Gajah Mada, Jakarta Pusat",2,1,47,1200000000
"Hayam Wuruk, Jakarta Pusat",2,1,62,725000000
"Gajah Mada, Jakarta Pusat",2,1,45,590000000
"Hayam Wuruk, Jakarta Pusat",1,1,69,1000000000
"Harmoni, Jakarta Pusat",2,1,63,1200000000
"Gajah Mada, Jakarta Pusat",3,1,63,550000000
"Gambir, Jakarta Pusat",2,2,84,1300000000
"Gajah Mada, Jakarta Pusat",2,1,49,800000000
"Gajah Mada, Jakarta Pusat",2,1,56,775000000
"Roxy, Jakarta Pusat",2,1,36,610000000
"Gajah Mada, Jakarta Pusat",1,1,56,775000000
"Gajah Mada, Jakarta Pusat",3,1,65,690000000
"Gajah Mada, Jakarta Pusat",3,1,65,690000000
"Gajah Mada, Jakarta Pusat",2,1,45,590000000
"Gajah Mada, Jakarta Pusat",2,1,53,1100000000
"Gajah Mada, Jakarta Pusat",2,1,63,1100000000
"Gajah Mada, Jakarta Pusat",2,1,56,775000000
"Gambir, Jakarta Pusat",3,2,89,1700000000
"Harmoni, Jakarta Pusat",3,2,110,2000000000
"Gajah Mada, Jakarta Pusat",3,1,63,699000000
"Petojo, Jakarta Pusat",2,3,84,1600000000
"Gajah Mada, Jakarta Pusat",1,1,49,725000000
"Gajah Mada, Jakarta Pusat",2,1,47,665000000
"Gajah Mada, Jakarta Pusat",2,1,47,650000000
"Gajah Mada, Jakarta Pusat",2,1,56,1100000000
"Harmoni, Jakarta Pusat",3,2,111,1500000000
"Gajah Mada, Jakarta Pusat",2,1,43,650000000
"Gajah Mada, Jakarta Pusat",2,1,53,1100000000
"Gajah Mada, Jakarta Pusat",2,1,56,799000000
"Gajah Mada, Jakarta Pusat",2,1,62,950000000
"Gajah Mada, Jakarta Pusat",2,1,46,700000000
"Gambir, Jakarta Pusat",3,2,116,1200000000
"Gajah Mada, Jakarta Pusat",3,2,63,800000000
"Gajah Mada, Jakarta Pusat",2,1,47,590000000
"Gajah Mada, Jakarta Pusat",1,1,45,750000000
"Gajah Mada, Jakarta Pusat",2,1,65,720000000
"Gajah Mada, Jakarta Pusat",2,1,56,1100000000
"Gajah Mada, Jakarta Pusat",2,1,56,1100000000
"Gambir, Jakarta Pusat",3,2,114,1200000000
"Gajah Mada, Jakarta Pusat",2,1,49,1100000000
"Gajah Mada, Jakarta Pusat",2,1,58,825000000
"Gajah Mada, Jakarta Pusat",3,1,65,800000000
