lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Kemayoran, Jakarta Pusat",3,2,132,2000000000
"Kemayoran, Jakarta Pusat",2,1,60,715000000
"Kemayoran, Jakarta Pusat",3,2,90,785000000
"Kemayoran, Jakarta Pusat",3,3,94,699000000
"Kemayoran, Jakarta Pusat",2,2,38,1900000000
"Kemayoran, Jakarta Pusat",2,2,70,1250000000
"Kemayoran, Jakarta Pusat",2,1,74,1370000000
"Kemayoran, Jakarta Pusat",3,3,100,1400000000
"Kemayoran, Jakarta Pusat",3,1,100,1100000000
"Kemayoran, Jakarta Pusat",2,1,73,1190000000
"Kemayoran, Jakarta Pusat",2,1,45,499000000
"Kemayoran, Jakarta Pusat",3,3,100,1520000000
"Kemayoran, Jakarta Pusat",2,2,165,2300000000
"Kemayoran, Jakarta Pusat",2,1,58,825000000
"Kemayoran, Jakarta Pusat",2,2,88,3500000000
"Kemayoran, Jakarta Pusat",2,1,76,1050000000
"Kemayoran, Jakarta Pusat",2,2,90,1280000000
"Kemayoran, Jakarta Pusat",1,1,57,750000000
"Kemayoran, Jakarta Pusat",2,1,51,990000000
"Kemayoran, Jakarta Pusat",2,1,45,490000000
"Kemayoran, Jakarta Pusat",2,1,62,850000000
"Kemayoran, Jakarta Pusat",1,1,33,525000000
"Kemayoran, Jakarta Pusat",2,1,62,1200000000
"Kemayoran, Jakarta Pusat",2,1,76,1050000000
"Kemayoran, Jakarta Pusat",3,2,97,1250000000
"Kemayoran, Jakarta Pusat",3,3,96,669000000
"Kemayoran, Jakarta Pusat",2,2,165,2600000000
"Kemayoran, Jakarta Pusat",2,1,73,900000000
"Kemayoran, Jakarta Pusat",2,1,74,1100000000
"Kemayoran, Jakarta Pusat",2,1,57,950000000
"Kemayoran, Jakarta Pusat",1,1,57,850000000
"Kemayoran, Jakarta Pusat",2,1,76,1150000000
"Kemayoran, Jakarta Pusat",2,1,73,950000000
"Kemayoran, Jakarta Pusat",1,1,51,680000000
"Kemayoran, Jakarta Pusat",2,2,72,699000000
"Kemayoran, Jakarta Pusat",1,1,38,525000000
"Kemayoran, Jakarta Pusat",3,2,100,1700000000
"Kemayoran, Jakarta Pusat",1,1,79,1100000000
"Kemayoran, Jakarta Pusat",2,1,75,1200000000
"Kemayoran, Jakarta Pusat",2,1,51,850000000
"Kemayoran, Jakarta Pusat",2,1,73,950000000
"Kemayoran, Jakarta Pusat",2,1,60,1600000000
"Kemayoran, Jakarta Pusat",3,2,119,2000000000
"Kemayoran, Jakarta Pusat",1,1,35,1200000000
"Kemayoran, Jakarta Pusat",2,1,76,950000000
"Kemayoran, Jakarta Pusat",1,1,79,1600000000
"Kemayoran, Jakarta Pusat",2,1,73,950000000
"Kemayoran, Jakarta Pusat",3,2,76,2200000000
