lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Menteng, Jakarta Pusat",2,2,111,4800000000
"Menteng, Jakarta Pusat",2,1,58,2100000000
"Menteng, Jakarta Pusat",2,1,58,2000000000
"Menteng, Jakarta Pusat",1,1,40,1970000000
"Menteng, Jakarta Pusat",3,2,65,2000000000
"Menteng, Jakarta Pusat",1,1,28,1100000000
"Cikini, Jakarta Pusat",2,2,111,4500000000
"CBD Area, Jakarta Pusat",1,1,88,2300000000
"Cikini, Jakarta Pusat",1,1,28,825000000
"CBD Area, Jakarta Pusat",2,2,78,2500000000
"Menteng, Jakarta Pusat",2,2,72,2000000000
"Menteng, Jakarta Pusat",2,1,58,2300000000
"Menteng, Jakarta Pusat",1,1,52,1500000000
"Menteng, Jakarta Pusat",1,1,33,1700000000
"Menteng, Jakarta Pusat",2,2,157,4900000000
"Menteng, Jakarta Pusat",1,1,28,1250000000
"Menteng, Jakarta Pusat",1,1,28,950000000
"Menteng, Jakarta Pusat",2,1,58,2750000000
"Menteng, Jakarta Pusat",2,1,48,1700000000
"Cikini, Jakarta Pusat",2,2,66,3200000000
"Menteng, Jakarta Pusat",1,2,55,3500000000
"Cikini, Jakarta Pusat",1,1,33,1750000000
"CBD Area, Jakarta Pusat",1,1,55,3300000000
"Menteng, Jakarta Pusat",2,1,57,2200000000
"Cikini, Jakarta Pusat",2,1,61,3900000000
"Menteng, Jakarta Pusat",2,2,120,4000000000
"Menteng, Jakarta Pusat",2,1,61,3900000000
"Menteng, Jakarta Pusat",2,2,66,3250000000
"Menteng, Jakarta Pusat",2,2,64,3000000000
"Menteng, Jakarta Pusat",2,2,116,3800000000
"Cikini, Jakarta Pusat",1,1,33,1900000000
"Menteng Atas, Jakarta Pusat",2,1,74,1100000000
"Menteng, Jakarta Pusat",2,2,60,2100000000
"Menteng, Jakarta Pusat",2,2,60,2100000000
"Menteng, Jakarta Pusat",2,2,60,2100000000
"Menteng, Jakarta Pusat",2,2,60,2100000000
"Menteng, Jakarta Pusat",1,1,29,1000000000
"Menteng, Jakarta Pusat",1,1,29,1000000000
"Menteng, Jakarta Pusat",1,1,29,1000000000
"Menteng, Jakarta Pusat",1,1,34,1300000000
