lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Salemba, Jakarta Pusat",3,2,72,2850000000
"Salemba, Jakarta Pusat",3,2,72,2850000000
"Senen, Jakarta Pusat",2,1,67,2900000000
"Salemba, Jakarta Pusat",1,1,23,850000000
"Salemba, Jakarta Pusat",2,1,46,1050000000
"Salemba, Jakarta Pusat",2,1,48,1050000000
"Salemba, Jakarta Pusat",1,1,31,600000000
"Senen, Jakarta Pusat",1,1,36,1800000000
"Senen, Jakarta Pusat",1,1,36,1800000000
"Senen, Jakarta Pusat",1,1,24,795000000
"Senen, Jakarta Pusat",2,1,33,440000000
"Salemba, Jakarta Pusat",2,1,45,1370000000
"Senen, Jakarta Pusat",2,1,38,1250000000
"Senen, Jakarta Pusat",1,1,27,580000000
"Salemba, Jakarta Pusat",2,1,33,435000000
"Senen, Jakarta Pusat",1,1,27,384000000
"Senen, Jakarta Pusat",1,1,23,800000000
"Salemba, Jakarta Pusat",3,2,68,2850000000
"Salemba, Jakarta Pusat",2,2,48,1000000000
"Senen, Jakarta Pusat",1,1,28,1050000000
"Salemba, Jakarta Pusat",1,1,31,700000000
"Salemba, Jakarta Pusat",2,1,46,1150000000
"Salemba, Jakarta Pusat",1,1,28,990000000
"Senen, Jakarta Pusat",1,1,31,650000000
"Senen, Jakarta Pusat",3,1,53,1100000000
"Senen, Jakarta Pusat",2,1,52,900000000
"Senen, Jakarta Pusat",2,1,74,3500000000
"Salemba, Jakarta Pusat",2,1,56,2190000000
"Senen, Jakarta Pusat",2,1,56,1300000000
"Senen, Jakarta Pusat",2,1,74,3500000000
"Senen, Jakarta Pusat",1,1,69,950000000
"Senen, Jakarta Pusat",2,1,57,975000000
"Senen, Jakarta Pusat",2,1,33,395000000
"Senen, Jakarta Pusat",1,1,21,360000000
"Senen, Jakarta Pusat",1,1,21,385000000
"Salemba, Jakarta Pusat",1,1,23,950000000
"Salemba, Jakarta Pusat",1,1,33,650000000
"Salemba, Jakarta Pusat",2,1,46,1370000000
"Salemba, Jakarta Pusat",1,1,28,975000000
"Salemba, Jakarta Pusat",3,3,72,1600000000
"Senen, Jakarta Pusat",2,1,75,3750000000
"Salemba, Jakarta Pusat",2,1,48,1100000000
"Salemba, Jakarta Pusat",2,2,68,2600000000
"Senen, Jakarta Pusat",1,1,68,1150000000
"Senen, Jakarta Pusat",1,1,28,1200000000
"Salemba, Jakarta Pusat",1,1,35,2400000000
"Salemba, Jakarta Pusat",3,2,72,2850000000
"Salemba, Jakarta Pusat",1,1,27,369000000
"Senen, Jakarta Pusat",1,1,27,345000000
"Salemba, Jakarta Pusat",1,1,28,1100000000
"Salemba, Jakarta Pusat",2,1,56,2190000000
"Salemba, Jakarta Pusat",2,1,62,2000000000
"Percetakan Negara, Jakarta Pusat",2,1,33,550000000
"Senen, Jakarta Pusat",1,1,31,1800000000
"Salemba, Jakarta Pusat",2,1,56,2190000000
"Salemba, Jakarta Pusat",2,1,65,1250000000
"Senen, Jakarta Pusat",1,1,33,650000000
"Senen, Jakarta Pusat",1,1,29,1200000000
"Salemba, Jakarta Pusat",2,1,43,1970000000
"Senen, Jakarta Pusat",2,1,47,1400000000
"Salemba, Jakarta Pusat",3,2,72,2850000000
"Salemba, Jakarta Pusat",2,1,38,1300000000
"Salemba, Jakarta Pusat",2,1,38,1300000000
"Senen, Jakarta Pusat",2,1,33,400000000
"Salemba, Jakarta Pusat",1,1,24,950000000
"Percetakan Negara, Jakarta Pusat",2,2,33,750000000
"Senen, Jakarta Pusat",1,1,42,1800000000
"Senen, Jakarta Pusat",2,2,65,2750000000
"Senen, Jakarta Pusat",2,1,33,450000000
"Senen, Jakarta Pusat",1,1,31,1650000000
"Salemba, Jakarta Pusat",1,1,23,700000000
"Salemba, Jakarta Pusat",2,1,50,2100000000
"Salemba, Jakarta Pusat",3,2,72,2850000000
"Senen, Jakarta Pusat",2,1,69,1200000000
"Salemba, Jakarta Pusat",2,1,53,850000000
"Senen, Jakarta Pusat",2,1,54,849000000
"Senen, Jakarta Pusat",1,1,38,1600000000
"Senen, Jakarta Pusat",2,2,75,2400000000
"Senen, Jakarta Pusat",2,1,40,650000000
"Salemba, Jakarta Pusat",2,1,49,690000000
"Senen, Jakarta Pusat",1,1,21,275000000
"Salemba, Jakarta Pusat",1,1,23,780000000
"Salemba, Jakarta Pusat",2,1,38,1300000000
"Salemba, Jakarta Pusat",2,1,48,1300000000
"Salemba, Jakarta Pusat",1,1,23,850000000
"Senen, Jakarta Pusat",1,1,26,700000000
"Senen, Jakarta Pusat",3,2,72,1100000000
"Salemba, Jakarta Pusat",1,1,40,420000000
"Salemba, Jakarta Pusat",2,1,56,2190000000
"Salemba, Jakarta Pusat",2,1,56,2190000000
"Salemba, Jakarta Pusat",2,1,56,2190000000
"Salemba, Jakarta Pusat",1,1,32,610000000
"Senen, Jakarta Pusat",2,2,55,950000000
