lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Thamrin, Jakarta Pusat",2,1,58,1050000000
"Thamrin, Jakarta Pusat",2,2,157,5000000000
"Tanah Abang, Jakarta Pusat",1,1,85,1600000000
"Tanah Abang, Jakarta Pusat",1,1,85,2300000000
"Thamrin, Jakarta Pusat",2,1,61,2200000000
"Tanah Abang, Jakarta Pusat",2,1,61,1550000000
"Bendungan Hilir, Jakarta Pusat",1,1,46,1450000000
"Thamrin, Jakarta Pusat",3,2,137,3500000000
"Tanah Abang, Jakarta Pusat",1,1,55,3400000000
"Thamrin, Jakarta Pusat",2,2,77,1950000000
"Kebon Melati, Jakarta Pusat",2,2,103,5600000000
"Tanah Abang, Jakarta Pusat",2,2,147,6500000000
"Thamrin, Jakarta Pusat",2,2,103,3200000000
"Karet Tengsin, Jakarta Pusat",2,2,66,2600000000
"Tanah Abang, Jakarta Pusat",1,1,55,3700000000
"Tanah Abang, Jakarta Pusat",3,2,106,2150000000
"Karet Tengsin, Jakarta Pusat",1,1,46,1100000000
"Senayan, Jakarta Pusat",3,1,160,5800000000
"Tanah Abang, Jakarta Pusat",1,1,75,2000000000
"Tanah Abang, Jakarta Pusat",3,2,150,2650000000
"Tanah Abang, Jakarta Pusat",3,2,150,2800000000
"Bendungan Hilir, Jakarta Pusat",1,1,54,1200000000
"Bendungan Hilir, Jakarta Pusat",1,1,46,1290000000
"Bendungan Hilir, Jakarta Pusat",3,1,63,2900000000
"Thamrin, Jakarta Pusat",1,1,81,4800000000
"Thamrin, Jakarta Pusat",2,2,157,5000000000
"Kebon Melati, Jakarta Pusat",1,1,55,3200000000
"Thamrin, Jakarta Pusat",1,1,28,850000000
"Thamrin, Jakarta Pusat",1,1,45,755000000
"Karet Tengsin, Jakarta Pusat",2,2,68,1500000000
"Tanah Abang, Jakarta Pusat",2,1,68,1240000000
"Thamrin, Jakarta Pusat",1,1,40,1050000000
"Tanah Abang, Jakarta Pusat",2,1,58,1400000000
"Senayan, Jakarta Pusat",2,2,110,5000000000
"Tanah Abang, Jakarta Pusat",1,1,42,1300000000
"Tanah Abang, Jakarta Pusat",1,1,81,4500000000
"Bendungan Hilir, Jakarta Pusat",1,1,24,750000000
"Thamrin, Jakarta Pusat",1,1,42,1100000000
"Bendungan Hilir, Jakarta Pusat",2,1,65,2750000000
"Bendungan Hilir, Jakarta Pusat",2,1,103,2000000000
"Bendungan Hilir, Jakarta Pusat",1,1,63,1500000000
"Bendungan Hilir, Jakarta Pusat",1,1,85,1800000000
"Karet Tengsin, Jakarta Pusat",2,1,48,850000000
"Karet Tengsin, Jakarta Pusat",2,1,48,880000000
"Karet Tengsin, Jakarta Pusat",2,1,48,900000000
"Karet Tengsin, Jakarta Pusat",3,2,78,1550000000
"Bendungan Hilir, Jakarta Pusat",3,2,108,2350000000
"Tanah Abang, Jakarta Pusat",2,1,52,1850000000
"Karet Tengsin, Jakarta Pusat",2,2,147,5000000000
"Karet Tengsin, Jakarta Pusat",1,1,34,1050000000
"Tanah Abang, Jakarta Pusat",2,2,81,2250000000
"Kebon Melati, Jakarta Pusat",1,1,55,3300000000
"Tanah Abang, Jakarta Pusat",1,1,75,1500000000
"Thamrin, Jakarta Pusat",2,2,153,4500000000
"Tanah Abang, Jakarta Pusat",1,1,28,850000000
"Tanah Abang, Jakarta Pusat",1,1,42,1250000000
"Bendungan Hilir, Jakarta Pusat",1,1,50,1400000000
"Karet Tengsin, Jakarta Pusat",2,1,48,1100000000
"Karet Tengsin, Jakarta Pusat",2,1,48,1000000000
"Thamrin, Jakarta Pusat",1,1,40,800000000
"Thamrin, Jakarta Pusat",3,2,103,2500000000
"Karet Tengsin, Jakarta Pusat",3,2,114,3000000000
"Thamrin, Jakarta Pusat",2,2,84,1900000000
"Karet Tengsin, Jakarta Pusat",3,2,100,2600000000
"Karet Tengsin, Jakarta Pusat",3,2,76,1700000000
"Thamrin, Jakarta Pusat",2,1,58,1800000000
"Thamrin, Jakarta Pusat",1,1,42,1050000000
"Tanah Abang, Jakarta Pusat",2,2,80,1900000000
"Thamrin, Jakarta Pusat",2,2,74,2700000000
"Thamrin, Jakarta Pusat",1,1,42,1100000000
"Thamrin, Jakarta Pusat",3,3,102,2800000000
"Thamrin, Jakarta Pusat",1,1,45,1000000000
"Thamrin, Jakarta Pusat",1,1,40,825000000
"Karet Tengsin, Jakarta Pusat",2,1,48,1000000000
"Thamrin, Jakarta Pusat",1,1,40,950000000
"Thamrin, Jakarta Pusat",1,1,42,1200000000
"Thamrin, Jakarta Pusat",1,1,42,1250000000
"Karet Tengsin, Jakarta Pusat",1,1,38,850000000
"Karet Tengsin, Jakarta Pusat",3,2,114,2000000000
"Karet Tengsin, Jakarta Pusat",3,2,78,1700000000
"Thamrin, Jakarta Pusat",2,1,58,1400000000
"Thamrin, Jakarta Pusat",2,1,60,1750000000
"Thamrin, Jakarta Pusat",1,1,42,1500000000
"Bendungan Hilir, Jakarta Pusat",1,1,46,1500000000
"Thamrin, Jakarta Pusat",1,1,42,1100000000
"Karet Tengsin, Jakarta Pusat",3,2,98,2400000000
"Thamrin, Jakarta Pusat",1,1,30,725000000
"Thamrin, Jakarta Pusat",2,2,80,2300000000
"Karet Tengsin, Jakarta Pusat",2,1,48,880000000
"Thamrin, Jakarta Pusat",2,1,60,2150000000
"Thamrin, Jakarta Pusat",2,1,65,1600000000
"Thamrin, Jakarta Pusat",1,1,40,1100000000
"Tanah Abang, Jakarta Pusat",2,1,48,1000000000
"Karet Tengsin, Jakarta Pusat",2,2,82,3000000000
"Thamrin, Jakarta Pusat",1,1,40,850000000
"Thamrin, Jakarta Pusat",1,1,40,1150000000
"Karet Tengsin, Jakarta Pusat",2,1,52,930000000
"Karet Tengsin, Jakarta Pusat",2,1,48,1070000000
"Thamrin, Jakarta Pusat",1,1,42,1150000000
"Thamrin, Jakarta Pusat",3,2,103,2000000000
"Karet Tengsin, Jakarta Pusat",2,1,48,960000000
"Thamrin, Jakarta Pusat",2,2,77,2600000000
"Karet Tengsin, Jakarta Pusat",3,2,78,1900000000
"Karet Tengsin, Jakarta Pusat",2,1,48,1000000000
"Thamrin, Jakarta Pusat",1,1,40,950000000
"Thamrin, Jakarta Pusat",1,1,40,1100000000
"Tanah Abang, Jakarta Pusat",1,1,49,1150000000
"Karet Tengsin, Jakarta Pusat",2,1,48,950000000
"Tanah Abang, Jakarta Pusat",3,2,94,2700000000
"Karet Tengsin, Jakarta Pusat",2,1,48,940000000
"Tanah Abang, Jakarta Pusat",1,1,40,1000000000
"Tanah Abang, Jakarta Pusat",3,2,103,3100000000
"Thamrin, Jakarta Pusat",2,1,56,1500000000
"Bendungan Hilir, Jakarta Pusat",1,1,46,1300000000
"Tanah Abang, Jakarta Pusat",3,2,105,1890000000
"Tanah Abang, Jakarta Pusat",1,1,30,630000000
"Thamrin, Jakarta Pusat",2,2,150,5400000000
"Tanah Abang, Jakarta Pusat",3,2,140,4350000000
"Thamrin, Jakarta Pusat",1,1,41,1300000000
"Tanah Abang, Jakarta Pusat",2,2,83,2500000000
"Tanah Abang, Jakarta Pusat",2,2,144,3800000000
"Thamrin, Jakarta Pusat",1,1,42,900000000
"Thamrin, Jakarta Pusat",1,1,28,1000000000
"Thamrin, Jakarta Pusat",2,2,57,1350000000
"Thamrin, Jakarta Pusat",1,1,42,1150000000
"Thamrin, Jakarta Pusat",2,2,103,2400000000
"Thamrin, Jakarta Pusat",2,2,77,1700000000
"Thamrin, Jakarta Pusat",2,1,77,2200000000
"Thamrin, Jakarta Pusat",2,1,69,1400000000
"Tanah Abang, Jakarta Pusat",2,1,56,1500000000
"Thamrin, Jakarta Pusat",1,1,28,800000000
"Thamrin, Jakarta Pusat",2,1,58,1900000000
"Thamrin, Jakarta Pusat",3,2,103,2400000000
"Thamrin, Jakarta Pusat",2,1,77,1900000000
"Thamrin, Jakarta Pusat",3,2,103,1900000000
"Tanah Abang, Jakarta Pusat",2,2,160,4000000000
"Tanah Abang, Jakarta Pusat",3,2,94,2000000000
"Kebon Melati, Jakarta Pusat",3,2,103,3000000000
"Kebon Melati, Jakarta Pusat",3,2,103,2200000000
"Kebon Kacang, Jakarta Pusat",1,1,42,1100000000
"Karet Tengsin, Jakarta Pusat",1,1,38,900000000
"Thamrin, Jakarta Pusat",1,1,48,1100000000
"Thamrin, Jakarta Pusat",2,2,84,1900000000
"Karet Tengsin, Jakarta Pusat",2,1,48,1000000000
